cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
40	0.914	0.232	0.566	0.234	0.334	0.342	68	4721	5	444	512	5238	qtrees	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
40	0.844	0.859	0.845	0.786	0.686	0.794	7184	5609	969	1391	8575	15153	qtrees	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
40	0.996	0.082	0.522	0.086	0.145	0.209	8	46213	9	170	178	46400	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
40	0.951	0.834	0.866	0.843	0.816	0.840	3047	20550	123	1086	4133	24806	qtrees	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
40	0.966	0.134	0.624	0.414	0.142	0.328	119	44007	1226	314	433	45666	qtrees	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
40	0.985	0.476	0.664	0.495	0.524	0.540	165	23879	29	335	500	24408	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
40	0.811	0.663	0.747	0.661	0.587	0.664	10756	36247	1019	9912	20668	57934	qtrees	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
40	0.872	0.843	0.862	0.824	0.742	0.818	9791	15193	984	2669	12460	28637	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
40	0.760	0.121	0.530	0.121	0.190	0.240	381	17239	76	5476	5857	23172	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
40	0.963	0.606	0.737	0.643	0.611	0.649	1776	59141	387	1926	3702	63230	qtrees	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
40	0.795	0.350	0.603	0.355	0.353	0.415	2095	28099	490	7300	9395	37984	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
40	0.983	0.174	0.548	0.175	0.295	0.298	35	19235	3	329	364	19602	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
40	0.962	0.027	0.507	0.027	0.108	0.167	10	18338	1	732	742	19081	qtrees	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
40	0.870	0.820	0.850	0.809	0.726	0.801	9550	18515	1080	3109	12659	32254	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
40	0.946	0.345	0.605	0.347	0.437	0.433	214	14082	7	806	1020	15109	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
40	0.948	0.385	0.627	0.409	0.418	0.460	220	12543	80	624	844	13467	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
40	0.971	0.506	0.677	0.524	0.546	0.563	483	31240	72	872	1355	32667	qtrees	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
40	0.958	0.804	0.847	0.817	0.792	0.815	6335	64578	362	2729	9064	74004	qtrees	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
40	0.950	0.346	0.616	0.383	0.364	0.428	275	19528	173	865	1140	20841	qtrees	./predictions/ATL24_20220130165727_06021406_005_01_gt3l_0_classified.csv
40	0.885	0.035	0.508	0.035	0.081	0.165	9	3848	8	494	503	4359	qtrees	./predictions/ATL24_20230115054429_03921807_006_01_gt1r_0_classified.csv
40	0.837	0.813	0.836	0.795	0.694	0.785	9598	13022	567	3842	13440	27029	qtrees	./predictions/ATL24_20181027185143_04450108_005_01_gt3r_0_classified.csv
40	0.878	0.526	0.679	0.529	0.546	0.570	528	6304	22	929	1457	7783	qtrees	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified.csv
40	0.706	0.625	0.694	0.584	0.413	0.579	6156	11648	1947	5454	11610	25205	qtrees	./predictions/ATL24_20211227185523_00841406_005_01_gt2l_0_classified.csv
40	0.976	0.753	0.895	0.877	0.742	0.817	1379	35517	572	333	1712	37801	qtrees	./predictions/ATL24_20220207164046_07241406_005_01_gt1l_0_classified.csv
40	0.932	0.765	0.822	0.781	0.741	0.777	624	4658	55	328	952	5665	qtrees	./predictions/ATL24_20230213042035_08341807_006_01_gt2l_0_classified.csv
40	0.912	-nan	0.500	0.000	-0.005	-nan	0	3084	1	297	297	3382	qtrees	./predictions/ATL24_20220102100417_01701406_005_01_gt2l_0_classified.csv
40	0.994	0.769	0.837	0.806	0.774	0.797	925	90916	112	443	1368	92396	qtrees	./predictions/ATL24_20220830201152_10681602_005_01_gt2r_0_classified.csv
40	0.881	-nan	0.499	0.000	-0.015	-nan	0	6222	12	832	832	7066	qtrees	./predictions/ATL24_20230328030558_01031906_006_01_gt2l_0_classified.csv
40	0.997	0.105	0.533	0.125	0.127	0.223	28	178208	85	392	420	178713	qtrees	./predictions/ATL24_20220614155706_12761507_006_01_gt2r_0_classified.csv
40	0.956	0.174	0.566	0.253	0.154	0.287	532	110017	2032	3014	3546	115595	qtrees	./predictions/ATL24_20220102124121_01721401_006_01_gt2r_0_classified.csv
40	0.951	0.850	0.884	0.865	0.826	0.856	12760	73598	914	3575	16335	90847	qtrees	./predictions/ATL24_20210621164201_13571108_005_01_gt3r_0_classified.csv
40	0.773	0.007	0.501	0.007	0.012	0.132	4	4099	8	1198	1202	5309	qtrees	./predictions/ATL24_20210704023000_01601201_005_01_gt3r_1_classified.csv
40	0.998	-nan	0.500	0.000	-0.001	-nan	0	201309	142	258	258	201709	qtrees	./predictions/ATL24_20220614155706_12761507_006_01_gt3r_0_classified.csv
40	0.913	0.651	0.752	0.671	0.632	0.677	10992	111918	1552	10213	21205	134675	qtrees	./predictions/ATL24_20200827111933_09640801_005_01_gt3l_0_classified.csv
40	0.897	0.750	0.826	0.780	0.689	0.761	19890	95696	4669	8568	28458	128823	qtrees	./predictions/ATL24_20210311184010_11881001_005_01_gt1r_0_classified.csv
40	0.747	0.464	0.644	0.463	0.404	0.494	1236	7192	251	2603	3839	11282	qtrees	./predictions/ATL24_20210316175909_12631014_005_01_gt1r_0_classified.csv
40	0.994	0.373	0.695	0.562	0.371	0.500	955	560336	1735	1474	2429	564500	qtrees	./predictions/ATL24_20220713201720_03351602_005_01_gt3r_0_classified.csv
40	0.982	0.156	0.544	0.161	0.240	0.275	421	255082	202	4370	4791	260075	qtrees	./predictions/ATL24_20220824201715_09761608_005_01_gt2r_1_classified.csv
40	0.935	0.330	0.619	0.397	0.313	0.415	1009	58095	1185	2909	3918	63198	qtrees	./predictions/ATL24_20200827144340_09660803_005_01_gt2l_0_classified.csv
40	0.998	0.022	0.507	0.028	0.027	0.146	12	559660	202	846	858	560720	qtrees	./predictions/ATL24_20220224090016_09791402_005_01_gt3l_0_classified.csv
40	0.944	0.834	0.875	0.852	0.806	0.842	11697	67151	1051	3596	15293	83495	qtrees	./predictions/ATL24_20230407113920_02611908_006_01_gt1l_0_classified.csv
40	0.935	0.220	0.564	0.234	0.268	0.322	4962	497173	2985	32134	37096	537254	qtrees	./predictions/ATL24_20191204103310_10460513_005_01_gt1r_0_classified.csv
40	0.925	0.353	0.614	0.377	0.376	0.430	1742	76581	775	5607	7349	84705	qtrees	./predictions/ATL24_20200827144340_09660803_005_01_gt3l_0_classified.csv
40	0.939	0.475	0.659	0.484	0.520	0.534	3350	110725	330	7084	10434	121489	qtrees	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_0_classified.csv
40	0.983	0.606	0.729	0.629	0.632	0.649	3755	270639	473	4404	8159	279271	qtrees	./predictions/ATL24_20201119021432_08540902_005_01_gt3l_0_classified.csv
40	0.979	0.543	0.802	0.750	0.536	0.658	325	25181	345	202	527	26053	qtrees	./predictions/ATL24_20200827220630_09700813_005_01_gt3l_0_classified.csv
40	0.958	0.279	0.584	0.288	0.356	0.377	484	56869	123	2377	2861	59853	qtrees	./predictions/ATL24_20190502032012_05170308_005_01_gt3l_0_classified.csv
40	0.978	0.090	0.524	0.090	0.214	0.229	4	3531	0	81	85	3616	qtrees	./predictions/ATL24_20190502100350_05210312_005_01_gt3l_1_classified.csv
40	0.947	0.915	0.935	0.918	0.877	0.911	9740	22709	758	1050	10790	34257	qtrees	./predictions/ATL24_20230407113920_02611908_006_01_gt2l_0_classified.csv
40	0.994	0.696	0.786	0.728	0.710	0.730	1994	269631	257	1486	3480	273368	qtrees	./predictions/ATL24_20210714141155_03201203_005_01_gt1r_0_classified.csv
40	0.960	0.513	0.685	0.542	0.534	0.569	1023	45145	245	1699	2722	48112	qtrees	./predictions/ATL24_20200831063523_10220802_005_01_gt2l_0_classified.csv
40	0.991	0.817	0.881	0.864	0.814	0.844	4286	208108	610	1316	5602	214320	qtrees	./predictions/ATL24_20220228115325_10421401_005_01_gt1l_0_classified.csv
40	0.984	-nan	0.500	0.000	0.000	-nan	0	18856	0	316	316	19172	qtrees	./predictions/ATL24_20200908045256_11430803_005_01_gt1l_0_classified.csv
40	0.850	0.110	0.528	0.112	0.178	0.232	778	70313	306	12251	13029	83648	qtrees	./predictions/ATL24_20220106124003_02331402_005_01_gt1l_0_classified.csv
40	0.941	0.573	0.714	0.601	0.576	0.616	6050	136809	1255	7776	13826	151890	qtrees	./predictions/ATL24_20191214093113_11980514_006_01_gt1r_0_classified.csv
40	0.963	0.313	0.594	0.318	0.404	0.407	1018	115021	110	4355	5373	120504	qtrees	./predictions/ATL24_20200401184200_00950707_005_01_gt3r_0_classified.csv
40	0.995	0.530	0.684	0.537	0.590	0.585	477	159355	24	821	1298	160677	qtrees	./predictions/ATL24_20220713215138_03361602_005_01_gt3r_0_classified.csv
40	0.733	0.282	0.579	0.283	0.314	0.364	27428	355594	3131	136439	163867	522592	qtrees	./predictions/ATL24_20210324134640_13831007_005_01_gt3r_0_classified.csv
40	0.991	0.412	0.650	0.463	0.438	0.491	324	104229	177	748	1072	105478	qtrees	./predictions/ATL24_20210723011117_04491206_005_01_gt1r_0_classified.csv
40	0.995	0.701	0.779	0.716	0.723	0.730	2213	351776	135	1750	3963	355874	qtrees	./predictions/ATL24_20220831181154_10821602_005_01_gt3r_0_classified.csv
40	0.996	0.053	0.518	0.072	0.056	0.175	35	286812	361	895	930	288103	qtrees	./predictions/ATL24_20190516043226_07320302_006_02_gt1l_0_classified.csv
40	0.929	0.863	0.888	0.867	0.820	0.860	9109	28683	545	2357	11466	40694	qtrees	./predictions/ATL24_20230407113920_02611908_006_01_gt3l_0_classified.csv
40	0.921	0.149	0.540	0.154	0.209	0.263	287	38152	172	3119	3406	41730	qtrees	./predictions/ATL24_20220106124003_02331402_005_01_gt1r_0_classified.csv
40	0.967	0.376	0.618	0.383	0.454	0.458	3447	335272	361	11070	14517	350150	qtrees	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_2_classified.csv
40	0.980	0.540	0.700	0.572	0.566	0.594	1298	104688	287	1927	3225	108200	qtrees	./predictions/ATL24_20220616222419_13111502_005_01_gt3r_0_classified.csv
40	0.966	0.198	0.563	0.232	0.211	0.301	578	133608	939	3758	4336	138883	qtrees	./predictions/ATL24_20220720155203_04391603_005_01_gt2r_0_classified.csv
40	0.981	0.624	0.743	0.654	0.642	0.665	988	61783	155	1037	2025	63963	qtrees	./predictions/ATL24_20210325203928_00161102_005_01_gt1r_0_classified.csv
40	0.720	0.705	0.743	0.656	0.497	0.650	11291	13074	1412	8051	19342	33828	qtrees	./predictions/ATL24_20190521223548_08190314_005_01_gt1l_0_classified.csv
40	0.951	0.132	0.536	0.136	0.208	0.253	617	158585	322	7806	8423	167330	qtrees	./predictions/ATL24_20191230205203_00630608_005_01_gt3r_0_classified.csv
40	0.761	0.688	0.743	0.657	0.514	0.651	17213	32403	4310	11267	28480	65193	qtrees	./predictions/ATL24_20220905155636_11571601_005_01_gt2r_0_classified.csv
40	0.978	0.820	0.863	0.841	0.815	0.835	15793	294473	1123	5819	21612	317208	qtrees	./predictions/ATL24_20210802235312_06161208_005_01_gt3r_0_classified.csv
40	0.858	0.152	0.541	0.152	0.264	0.277	127	8409	1	1414	1541	9951	qtrees	./predictions/ATL24_20200105221354_01560601_005_01_gt1r_0_classified.csv
40	0.931	0.458	0.655	0.477	0.486	0.519	419	13025	88	902	1321	14434	qtrees	./predictions/ATL24_20210402122421_01331101_005_01_gt1r_0_classified.csv
40	0.977	0.226	0.592	0.319	0.218	0.339	105	31078	282	438	543	31903	qtrees	./predictions/ATL24_20220913113704_12761607_006_01_gt3r_0_classified.csv
40	0.934	0.006	0.484	0.012	-0.028	0.118	67	326436	12924	10321	10388	349748	qtrees	./predictions/ATL24_20181222024630_12900108_005_01_gt3r_0_classified.csv
40	0.980	0.661	0.755	0.676	0.683	0.694	1891	95595	138	1802	3693	99426	qtrees	./predictions/ATL24_20201016023809_03350902_005_01_gt1l_0_classified.csv
40	0.935	0.862	0.892	0.872	0.823	0.862	16962	60670	1361	4072	21034	83065	qtrees	./predictions/ATL24_20200412154110_02610708_005_01_gt1r_0_classified.csv
40	0.883	0.542	0.693	0.562	0.523	0.580	1622	19169	362	2381	4003	23534	qtrees	./predictions/ATL24_20210406085423_01911113_005_01_gt1r_0_classified.csv
40	0.862	0.609	0.720	0.613	0.594	0.634	10157	71627	550	12501	22658	94835	qtrees	./predictions/ATL24_20220108092012_02611408_006_01_gt1l_0_classified.csv
40	0.930	0.478	0.661	0.489	0.516	0.536	1154	32184	135	2382	3536	35855	qtrees	./predictions/ATL24_20200212214153_07360601_005_01_gt1r_0_classified.csv
40	0.921	0.180	0.549	0.180	0.301	0.303	15	1591	0	137	152	1743	qtrees	./predictions/ATL24_20210413202331_03061102_005_01_gt3r_0_classified.csv
40	0.977	0.181	0.550	0.183	0.300	0.303	143	55854	13	1279	1422	57289	qtrees	./predictions/ATL24_20190101023251_00560202_005_01_gt1l_0_classified.csv
40	0.935	0.609	0.738	0.645	0.598	0.647	1037	18159	245	1086	2123	20527	qtrees	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_0_classified.csv
40	0.671	0.031	0.508	0.031	0.100	0.168	36	4531	1	2239	2275	6807	qtrees	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_1_classified.csv
40	0.981	0.101	0.527	0.102	0.202	0.233	1961	1800842	561	34425	36386	1837789	qtrees	./predictions/ATL24_20210821101554_08981201_005_01_gt3r_0_classified.csv
40	0.755	0.142	0.537	0.143	0.216	0.260	584	21052	78	6951	7535	28665	qtrees	./predictions/ATL24_20200519231048_08310706_005_01_gt3l_0_classified.csv
40	0.914	0.927	0.909	0.863	0.821	0.880	9130	6031	790	642	9772	16593	qtrees	./predictions/ATL24_20200527120937_09460708_005_01_gt2l_0_classified.csv
40	0.979	0.632	0.818	0.776	0.621	0.712	11308	599051	7030	6136	17444	623525	qtrees	./predictions/ATL24_20220304021217_10961414_005_01_gt2l_0_classified.csv
40	0.972	0.602	0.720	0.612	0.636	0.642	1272	57907	76	1606	2878	60861	qtrees	./predictions/ATL24_20210804181159_06431207_005_01_gt1r_0_classified.csv
40	0.920	-nan	0.500	0.000	0.000	-nan	0	3967	0	347	347	4314	qtrees	./predictions/ATL24_20200606090624_10970705_005_01_gt3l_0_classified.csv
